first_name,last_name,headline,email,phone,location,experience,education,projects,skills,soft_skills,completness_score,fields_missing,language,strategy_used
KOUASSI,Nanga,,knanga+cv08@exemple.com,"0102030405, 0708091011",Anyama,[],[],[],[],Supervision,0.5454545454545454,"headline, experience, education, projects, skills",fr,rules+regex_v2_sections
,,,moise.kouassi+cv12@exemple.com,+225 07 67 21 83 04,Grand-Bassam,[],[],[],"[{""normalized"": ""Word"", ""category"": ""tool""}]",,0.36363636363636365,"first_name, last_name, headline, experience, education, projects, soft_skills",fr,rules+regex_v2_sections
Personal,Information,,,0176 843 21 990,,[],"[{""school"": ""und Servicezentrum Vest GmbH"", ""degree"": ""Schulungs"", ""date"": ""SuS-Vest"", ""start"": null, ""end"": null, ""raw_title_line"": ""Schulungs- und Servicezentrum Vest GmbH (SuS-Vest), Ossenbergweg 12,""}]",[],[],,0.36363636363636365,"headline, email, location, experience, projects, skills, soft_skills",en,rules+regex_v2_sections
,,,abdoul.soro+cv13@exemple.com,+225 07 88 12 45 90,Abidjan,[],[],[],"[{""normalized"": ""Project Management"", ""category"": ""management""}, {""normalized"": ""French"", ""category"": ""language""}, {""normalized"": ""English"", ""category"": ""language""}]","Gestion de projet, Analyse",0.45454545454545453,"first_name, last_name, headline, experience, education, projects",fr,rules+regex_v2_sections
,,,idriss.kone+cv06@exemple.com,"07 58 31 44 20, 01 09 62 73 15, 07 58 31 44 20, +225 07 89 40 11 26, +225 07 80 30 88 41, +225 07 57 79 12 04, +225 07 58 68 90 11",Abidjan,[],[],[],[],,0.2727272727272727,"first_name, last_name, headline, experience, education, projects, skills, soft_skills",fr,rules+regex_v2_sections
Thomas,Durand,,thomas.durand+cv01@exemple.com,06 22 14 73 90,Lyon,"[{""company"": ""Ginger Bar, Lyon"", ""role"": ""Barman"", ""date"": ""oct. 2024 - janv. 2025"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""Barman — Ginger Bar, Lyon (oct. 2024 - janv. 2025)""}, {""company"": ""Bouygues Telecom, Toulouse"", ""role"": ""Conseiller clientèle porte à porte"", ""date"": ""sept. 2023 - juin 2024"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""Conseiller clientèle porte à porte — Bouygues Telecom, Toulouse (sept. 2023 - juin 2024)""}, {""company"": ""USINE Yeo Frais, Toulouse"", ""role"": ""Conducteur de ligne"", ""date"": ""févr. 2023 - mai 2023"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""Conducteur de ligne — USINE Yeo Frais, Toulouse (févr. 2023 - mai 2023)""}, {""company"": ""Intérim, Toulouse"", ""role"": ""Agent de tri postale"", ""date"": ""févr. 2023 - mai 2023"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""Agent de tri postale — Intérim, Toulouse (févr. 2023 - mai 2023)""}, {""company"": ""Kurty's burger, Toulouse"", ""role"": ""Employé polyvalent"", ""date"": ""oct. 2022 - janv. 2023"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""Employé polyvalent — Kurty's burger, Toulouse (oct. 2022 - janv. 2023)""}, {""company"": ""Ravess France, Lyon"", ""role"": ""Recruteur de donateur"", ""date"": ""sept. 2021 - févr. 2022"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""Recruteur de donateur — Ravess France, Lyon (sept. 2021 - févr. 2022)""}]","[{""school"": ""Lycée Raymond Naves, Toulouse"", ""degree"": ""Bac STMG spécialité mercatique"", ""date"": ""sept. 2019 - juin 2020"", ""start"": null, ""end"": null, ""raw_title_line"": ""Bac STMG spécialité mercatique — Lycée Raymond Naves, Toulouse (sept. 2019 - juin 2020)""}]",[],[],"Organisation, Relation client",0.7272727272727273,"headline, projects, skills",fr,rules+regex_v2_sections
Renaud,Formation,,mathieu.renaud+cv04@exemple.co,06 73 51 28 94,Toulouse,[],"[{""school"": ""Université Grenoble Alpes"", ""degree"": ""IUT1"", ""date"": ""2023-2026"", ""start"": null, ""end"": null, ""raw_title_line"": ""IUT1 - Université Grenoble Alpes (2023-2026)""}, {""school"": ""Pins Justaret"", ""degree"": ""télécommunications pour valider Lycée Jean Pierre Vernant"", ""date"": ""2020-2023"", ""start"": null, ""end"": null, ""raw_title_line"": ""télécommunications pour valider Lycée Jean Pierre Vernant - Pins Justaret (2020-2023)""}]","[{""name"": ""SAE (projets de groupe) - IUT1 UGA BUT RT"", ""description"": null}, {""name"": ""Permis A2 et B + voiture • Création de serveur, gestion et création d’un réseau,"", ""description"": null}, {""name"": ""Langues Trésorier du bureau des étudiants - IUT1 UGA BUT RT"", ""description"": null}, {""name"": ""Avril 2024 : Surveillance concours de grandes écoles - Rectorat"", ""description"": null}]","[{""normalized"": ""English"", ""category"": ""language""}, {""normalized"": ""Spanish"", ""category"": ""language""}]",,0.7272727272727273,"headline, experience, soft_skills",fr,rules+regex_v2_sections
,,,,+225 07 61 24 90 18,Abidjan,[],"[{""school"": ""2025 : École normale supérieure d’Abidjan"", ""degree"": ""• 2024"", ""date"": ""ENS"", ""start"": null, ""end"": null, ""raw_title_line"": ""• 2024-2025 : École normale supérieure d’Abidjan (ENS)""}]",[],"[{""normalized"": ""French"", ""category"": ""language""}, {""normalized"": ""English"", ""category"": ""language""}]",,0.36363636363636365,"first_name, last_name, headline, email, experience, projects, soft_skills",fr,rules+regex_v2_sections
Compétences,Stagiaire,,yao.koffi+cv11@exemple.com,07 45 92 18 66,Abidjan,"[{""company"": ""C Bingerville"", ""role"": ""STAR"", ""date"": ""Janvier 2025"", ""start_date"": null, ""end_date"": null, ""raw_title_line"": ""STAR-C Bingerville (Janvier 2025)""}]",[],"[{""name"": ""Contact"", ""description"": null}]","[{""normalized"": ""Word"", ""category"": ""tool""}, {""normalized"": ""French"", ""category"": ""language""}, {""normalized"": ""English"", ""category"": ""language""}, {""normalized"": ""Spanish"", ""category"": ""language""}]",,0.7272727272727273,"headline, education, soft_skills",fr,rules+regex_v2_sections
Ehouman,Loisirs,,,"+225 07 09 33 21 88, +225 01 23 45 67 89",,[],[],"[{""name"": ""Ingénierie d’affaires"", ""description"": null}]","[{""normalized"": ""MS Project"", ""category"": ""project_management""}]","Organisation, Gestion de projet",0.5454545454545454,"headline, email, location, experience, education",fr,rules+regex_v2_sections
